product_name                                                                             ,name_ordered                   ,supplier_name ,total_packs_ordered ,pack_size ,pack_price ,PO_cost ,total_packs_received ,receipt_pack_price ,received_cost ,upc          ,store_id ,store_name ,product_id ,restock_order_id ,is_out_of_stock ,out_of_stock_reason
Skittles - Sour - 1.8 oz                                                                 ,SKITTLES SOUR                  ,Core-Mark     ,                  1 ,       24 ,     24.24 ,  24.24 ,                     ,                   ,              ,040000002666 ,       5 ,UofA       ,       176 ,           14084 ,FALSE           ,
Snickers - Original - 1.86 oz                                                            ,SNICKERS ORIG SNGL             ,Core-Mark     ,                  1 ,       48 ,     44.64 ,  44.64 ,                     ,                   ,              ,040000424314 ,       5 ,UofA       ,       272 ,           14084 ,FALSE           ,
Snyder's Pretzel Pieces - Honey Mustard & Onion - 5.0 oz                                 ,SNYDERS PRTZL HNY MUSTARD PCES ,Core-Mark     ,                  1 ,        8 ,     13.84 ,  13.84 ,                     ,                   ,              ,077975093900 ,       5 ,UofA       ,       184 ,           14084 ,FALSE           ,
Snyder's - Mini Pretzels - 3.5 oz                                                        ,SNYDERS PRTZL MINIS            ,Core-Mark     ,                  1 ,        8 ,      7.44 ,   7.44 ,                     ,                   ,              ,077975022313 ,       5 ,UofA       ,      3195 ,           14084 ,FALSE           ,
Snyder's Pretzel Pieces - Hot Buffalo Wing - 5.0 oz                                      ,SNYDERS PRTZL PCS HOT BUFF WIN ,Core-Mark     ,                  1 ,        8 ,     13.84 ,  13.84 ,                     ,                   ,              ,077975093917 ,       5 ,UofA       ,      1818 ,           14084 ,FALSE           ,
Sour Punch Straws - Blue Raspberry - 2.0 oz                                              ,SOUR PUNCH STRAWS BLUE RASPBER ,Core-Mark     ,                  1 ,       24 ,     20.64 ,  20.64 ,                     ,                   ,              ,041364080512 ,       5 ,UofA       ,      1238 ,           14084 ,FALSE           ,
Stacy's Pita Chips - Simply Naked - 3.0 oz                                               ,STACYS PITA CHIPS SIMPLY NAKED ,Core-Mark     ,                  1 ,        6 ,      8.16 ,   8.16 ,                     ,                   ,              ,028400093095 ,       5 ,UofA       ,      3091 ,           14084 ,FALSE           ,
Starburst Minis - All Pink - 8.0 oz                                                      ,STARBURST ALL PINK MINI        ,Core-Mark     ,                  3 ,        8 ,     18    ,  54    ,                     ,                   ,              ,022000022837 ,       5 ,UofA       ,      4731 ,           14084 ,FALSE           ,
Swedish Fish - Red - 3.1 oz                                                              ,SWEDISH FISH RED THEATER BOX   ,Core-Mark     ,                  1 ,       12 ,     10.2  ,  10.2  ,                     ,                   ,              ,070462431230 ,       5 ,UofA       ,       194 ,           14084 ,FALSE           ,
Sweetarts Ropes - Twisted Rainbow Punch - 3.5 oz                                         ,SWEETARTS ROPE TWSTD RNBW SHR  ,Core-Mark     ,                  1 ,       12 ,     21.24 ,  21.24 ,                     ,                   ,              ,079200362003 ,       5 ,UofA       ,      2271 ,           14084 ,FALSE           ,
Tampax Pearl Tampons - Super - 8.0 count                                                 ,TAMPAX PEARL UNSCNTD SUPER PLS ,Core-Mark     ,                  3 ,        1 ,      2.94 ,   8.82 ,                     ,                   ,              ,073010710528 ,       5 ,UofA       ,      2814 ,           14084 ,FALSE           ,
Tide Pod - Spring Meadow - 16.0 count                                                    ,TIDE PODS SPRING MEADOW        ,Core-Mark     ,                  1 ,        6 ,     34.08 ,  34.08 ,                     ,                   ,              ,037000509547 ,       5 ,UofA       ,      4758 ,           14084 ,FALSE           ,
Totino's Pizza Rolls - Pepperoni - 7.5 oz                                                ,TOTINOS PZA ROLL PEPPERONI 15C ,Core-Mark     ,                  1 ,       12 ,     29.52 ,  29.52 ,                     ,                   ,              ,042800005830 ,       5 ,UofA       ,      1876 ,           14084 ,FALSE           ,
Trojan Condom - Ultra Thin - 3.0 count                                                   ,TROJAN CONDOM ULTRA-THIN LUBCR ,Core-Mark     ,                  3 ,        1 ,      1.89 ,   5.67 ,                     ,                   ,              ,022600926207 ,       5 ,UofA       ,      3845 ,           14084 ,FALSE           ,
Trolli - Sour Brite Eggs - 4.0 oz                                                        ,TROLLI GUMMI BRITECRWLR EGGS   ,Core-Mark     ,                  1 ,       12 ,     17.4  ,  17.4  ,                     ,                   ,              ,020709012081 ,       5 ,UofA       ,      2454 ,           14084 ,FALSE           ,
